SN,Continent,Country,Location_Name,Location_Code,Cluster_Name,Cluster_Code,Plot_ Name,Plot_ Code,Minumum_Plot_Dimention (m),Maximum_Plot_Dimention (m),Total_Plot_Edge (m),Census_Date,PI,Latitude (plot),Longitude (plot),x (plot),y (plot),Tag_No,Family,Original_Identification,Genus,Species,Species_Code,Edibility_Category,x (tree),y (tree),Elevation (m),Dimater (cm),Plot_Comments 
11,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,95,Fabaceae,Tetrapleura tetraptera,Tetrapleura,Tetrapleura tetraptera,TETE,Edible,437790,593235,133,42,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
12,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,96,Fabaceae,Angiocalyx oligapholus,Angylocalyx,Angylocalyx oligophyllus,ANOL,Edible,437790,593235,133,17,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
13,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,97,Fabaceae,Piptadeniastrum africanum,Piptadeniastrum,Piptadeniastrum africanum,PIAF,Inedible,437788,593239,133,45,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
14,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,98,Guttiferae,Garcinia mannii,Garcinia,Garcinia mannii,GAMA,Edible,437801,593239,133,10,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
15,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,99,Putranjivaceae,Drypetes staudtii,Drypetes,Drypetes staudtii,DRST,Inedible,437786,593229,133,13,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
16,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,100,Putranjivaceae,Drypetes molunduana,Drypetes,Drypetes molunduana,DRMO,Inedible,437786,593226,133,15,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
17,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,101,Olacaceae,Caula hispida,Cola,Cola hispida,COHI,Edible,437785,593224,133,10,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
18,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,102,Fabaceae,Parkia bicolor,Parkia,Parkia bicolor,PABI,Edible,437781,593224,133,29,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
19,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,103,Apocynaceae,Rauvolfia vomitoria,Rauvolfia,Rauvolfia vomitoria,RAVO,Inedible,437779,593226,132,20,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
20,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,104,Phyllanthaceae,Maesobotrya barteri,Maesobotrya,Maesobotrya barteri,MABA,Edible,437783,593229,133,10,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
21,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,105,Phyllanthaceae,Maesobotrya barteri,Maesobotrya,Maesobotrya barteri,MABA,Edible,437783,593229,132,13,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
22,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,106,Phyllanthaceae,Maesobotrya barteri,Maesobotrya,Maesobotrya barteri,MABA,Edible,437783,593229,132,11,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
23,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,107,Phyllanthaceae,Maesobotrya barteri,Maesobotrya,Maesobotrya barteri,MABA,Edible,437783,593229,133,22,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
24,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,108,Malvaceae,Eribroma oblonga,Eribroma,Eribroma oblonga,EROB,Inedible,437785,593235,133,15,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
25,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,109,Olacaceae,Strombosia grandifolia,Strombosia,Strombosia grandifolia,STGR,Inedible,437787,593239,133,25,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
26,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,110,Fabaceae,Pentaclethra macrophylla,Pentaclethra,Pentaclethra macrophylla,PNMA,Edible,437781,593246,132,68,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
27,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,111,Olacaceae,Strombosia pustulata,Strombosia,Strombosia pustulata,STPU,Inedible,437781,593246,132,31,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
28,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,112,Ebenaceae,Diospyros suaveolens,Diospyros,Diospyros suaveolens,DISU,Inedible,437777,593246,132,12,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
29,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,113,Ebenaceae,Diospyros mespiliformis,Diospyros,Diospyros mespiliformis,DIME,Inedible,437779,593248,132,16,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
30,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,114,Mimosaceae,Calpocalyx vebratus,Calpocalyx,Calpocalyx brevibracteatus,CABR,Inedible,437781,593246,132,19,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
31,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,115,Malvaceae,Neobotermia glabereinsis,Neoboutonia,Neoboutonia glabrescens,NEGL,Inedible,437777,593242,133,61,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
32,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,116,Phyllanthaceae,Uapaca togoensis,Uapaca,Uapaca togoensis,UATO,Inedible,437779,593239,133,14,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
33,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,117,Phyllanthaceae,Anthidesma laciniatum,Antidesma,Antidesma laciniatum,ANLA,Inedible,437777,593237,132,12,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
34,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,118,Putranjivaceae,Drypetes staudtii,Drypetes,Drypetes staudtii,DRST,Inedible,437775,593233,132,24,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
35,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,119,Sapotaceae,Omphalocarpum elatum,Omphalocarpum,Omphalocarpum elatum,OMEL,Inedible,437775,593231,132,28,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
36,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,120,Fabaceae,Brachystegia eurycoma,Brachystegia,Brachystegia eurycoma,BREU,Edible,437772,593233,132,18,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
37,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,121,Malvaceae,Pterygota bequaertii,Pterygota,Pterygota bequaertii,PTBE,Inedible,437772,593226,131,27,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
38,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,122,Meliaceae,Trichilia obovoidea,Trichilia,Trichilia obovoidea,TROB,Inedible,437761,593226,132,15,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
39,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,123,Guttiferae,Garcinia smeathmannii,Garcinia,Garcinia smeathmannii,GASM,Inedible,437762,593228,133,10,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
40,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,124,Fabaceae,Amphimas ptericarpoides,Amphimas,Amphimas pterocarpoides,AMPT,Inedible,437764,593229,132,11,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
41,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,125,Olacaceae,Caula edulis,Caula,Caula edulis,CAED,Edible,437766,593229,133,18,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
42,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,126,Phyllanthaceae,Uapaca heudelotii,Uapaca,Uapaca heudelotii,UAHE,Edible,437766,593231,133,12,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
43,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,127,Fabaceae,Brachystegia eurycoma,Brachystegia,Brachystegia eurycoma,BREU,Edible,437768,593237,132,16,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
44,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,128,Fabaceae,Brachystegia eurycoma,Brachystegia,Brachystegia eurycoma,BREU,Edible,437770,593239,133,55,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
45,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,129,Fabaceae,Brachystegia eurycoma,Brachystegia,Brachystegia eurycoma,BREU,Edible,437772,593242,132,21,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
46,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,130,Irvingiaceae,Irvingia gabonensis,Irvingia,Irvingia gabonensis,IRGA,Edible,437770,593244,131,44,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
47,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,131,Fabaceae,Brachystegia eurycoma,Brachystegia,Brachystegia eurycoma,BREU,Edible,437768,593248,131,24,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
48,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,132,Pandaceae,Macrodermis puberula,Microdesmis,Microdesmis puberula,MIPU,Inedible,437761,593233,132,17,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
49,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,133,Phyllanthaceae,Maesobotrya barteri,Maesobotrya,Maesobotrya barteri,MABA,Edible,437766,593242,131,15,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
50,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,134,Phyllanthaceae,Bridelia ferruginea,Bridelia,Bridelia ferruginea,BRFE,Inedible,437764,593246,131,20,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
51,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,135,Annonaceae,Enanthia chlorantia,Enantia,Enantia chlorantha,ENCH,Inedible,437764,593253,130,25,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
52,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,136,Irvingiaceae,Irvingia gabonensis,Irvingia,Irvingia gabonensis,IRGA,Edible,437772,593251,130,18,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
53,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,137,Meliaceae,Trichilia obovoidea,Trichilia,Trichilia obovoidea,TROB,Inedible,437774,593251,130,15,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
54,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,138,Meliaceae,Trichilia obovoidea,Trichilia,Trichilia obovoidea,TROB,Inedible,437774,593253,130,13,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
